自动ID,场景ID,场景,对话阶段,阶段顺序,人物,内容类型,话题,NPC台词,玩家可选台词,出现条件,选择结果,下一话题,动作/表情备注,设计备注,对话动机,画面表现,玩家因此知道什么,状态写入（不显示）,是否说出口,演出/交互方式
C07_010,C07_CURTAIN_CALL,春和戏院·谢幕前后,第一章·谢幕前后,1,沈砚舟,位置选择,谢幕前后观察,,观众席侧边,始终,c07_position=audience,第一章·侧厅无人,,该时段只留下这一处速记：谢幕：林怀安自行下台，步子稳定。,,谢幕：林怀安自行下台，步子稳定。,谢幕：林怀安自行下台，步子稳定。,notes += C07_audience,否,地图位置单选；选择后锁定
C07_011,C07_CURTAIN_CALL,春和戏院·谢幕前后,第一章·谢幕前后,1,沈砚舟,位置选择,谢幕前后观察,,前场,始终,c07_position=front,第一章·侧厅无人,,该时段只留下这一处速记：谢幕：许济川在前场；方仲山不在账桌旁。,,谢幕：许济川在前场；方仲山不在账桌旁。,谢幕：许济川在前场；方仲山不在账桌旁。,notes += C07_front,否,地图位置单选；选择后锁定
C07_012,C07_CURTAIN_CALL,春和戏院·谢幕前后,第一章·谢幕前后,1,沈砚舟,位置选择,谢幕前后观察,,台侧外围,始终,c07_position=side,第一章·侧厅无人,,该时段只留下这一处速记：谢幕：林怀安沿侧台通道中央走向侧厅。稍后：铁梯方向有人移动，看不清身份。,,谢幕：林怀安沿侧台通道中央走向侧厅。稍后：铁梯方向有人移动，看不清身份。,谢幕：林怀安沿侧台通道中央走向侧厅。稍后：铁梯方向有人移动，看不清身份。,notes += C07_side,否,地图位置单选；选择后锁定
C07_013,C07_CURTAIN_CALL,春和戏院·谢幕前后,第一章·谢幕前后,1,沈砚舟,位置选择,谢幕前后观察,,乐池外围,始终,c07_position=orchestra,第一章·侧厅无人,,该时段只留下这一处速记：谢幕前后：陈九生离开原位一段时间，之后从侧台另一端回来。,,谢幕前后：陈九生离开原位一段时间，之后从侧台另一端回来。,谢幕前后：陈九生离开原位一段时间，之后从侧台另一端回来。,notes += C07_orchestra,否,地图位置单选；选择后锁定
C08_001,C08_EMPTY_HALL,春和戏院·侧厅与侧台通道,第一章·侧厅无人,1,场务,NPC台词,林怀安未赴约,场务：「林班主还没来？」\n沈砚舟：「没有。」\n林玉棠：「他不是往侧厅来了？」\n场务：「我看他从台侧下的。」,,始终,,,,严格对应 v6 C08；未补写尚未进入实际剧情树的新蒙镜布与景片高度异常。,,凉茶、空侧厅、通道与提灯动线由背景 UI 表现。\n谢幕结束。侧厅桌上是一只已经凉下来的茶杯，林怀安没有出现。\n玉棠转向侧台通道。阿成提灯跟过去。,林怀安谢幕后没有按约到侧厅。,lin_missing_after_curtain=true,是,连续剧情逐句点击；主控发言按钮；末句显示两个回答
C08_010,C08_EMPTY_HALL,春和戏院·侧厅与侧台通道,第一章·侧厅无人,2,沈砚舟,玩家选项,跟不跟,,跟进去。,始终,c08_arrival=follow,第一章·侧厅无人·跟进,,,,,,,否,玩家点击
C08_011,C08_EMPTY_HALL,春和戏院·侧厅与侧台通道,第一章·侧厅无人,2,沈砚舟,玩家选项,跟不跟,,在这儿等。,始终,c08_arrival=late,第一章·侧厅无人·留下,,,,,,,否,玩家点击
C08_020,C08_EMPTY_HALL,春和戏院·侧台通道,第一章·侧厅无人·跟进,1,林玉棠,NPC台词,发现,林玉棠：「爹！」,,始终,,第一章·第一眼,,,,灯影晃了一下。玉棠已经蹲下去。,沈砚舟跟进通道时，玉棠先发现林怀安倒下。,c08_arrival=follow,是,连续剧情逐句点击；主控发言按钮
C08_021,C08_EMPTY_HALL,春和戏院·侧厅,第一章·侧厅无人·留下,1,林玉棠,NPC台词,发现,林玉棠：「爹！」,,始终,,第一章·第一眼,,,,通道里先是脚步，然后是玉棠的一声。\n等沈砚舟赶到，人已经围了一圈。,沈砚舟留在侧厅，赶到时人已经围住林怀安。,c08_arrival=late,是,连续剧情逐句点击；主控发言按钮
C09_001,C09_FIRST_LOOK,春和戏院·侧台通道岔口,第一章·第一眼,1,系统,纯画面,一次性第一眼,,,始终,,,林怀安倒在靠墙岔口旁；玉棠跪在身边；阿成放下灯；许济川赶到检查。,玩家只能选择第一瞬间重点看哪里。,,侧台岔口、倒地位置、围拢人物与地上提灯。,,,否,背景UI无对话框；末帧显示三个第一眼选项
C09_010,C09_FIRST_LOOK,春和戏院·侧台通道岔口,第一章·第一眼,2,沈砚舟,一次性观察,第一眼,,看林怀安,c08_arrival!=late,first_observation=lin,第一章·药盒落地,,写入速记：许济川的手指在林怀安颈侧停了一瞬，随后拉回护领。,,许济川的手指在林怀安颈侧停了一瞬，随后拉回护领。,许济川的手指在林怀安颈侧停了一瞬，随后拉回护领。,notes += C09_lin,否,一次性观察；选择后锁定
C09_011,C09_FIRST_LOOK,春和戏院·侧台通道岔口,第一章·第一眼,2,沈砚舟,一次性观察,第一眼,,看倒下的位置,始终,first_observation=position,第一章·药盒落地,,写入速记：林怀安倒在侧台岔口靠墙处；若此前在台侧，则同时保留最后行走位置。,,林怀安倒在侧台岔口靠墙处；若此前在台侧，则同时保留最后行走位置。,林怀安倒在侧台岔口靠墙处；若此前在台侧，则同时保留最后行走位置。,notes += C09_position,否,一次性观察；选择后锁定
C09_012,C09_FIRST_LOOK,春和戏院·侧台通道岔口,第一章·第一眼,2,沈砚舟,一次性观察,第一眼,,看周围的人,始终,first_observation=people,第一章·药盒落地,,写入速记：阿成先看玉棠；陈九生随后从侧台另一端赶回。,,阿成先看玉棠；陈九生随后从侧台另一端赶回。,阿成先看玉棠；陈九生随后从侧台另一端赶回。,notes += C09_people,否,一次性观察；选择后锁定
C10_001,C10_MEDICINE_BOX,春和戏院·侧台通道,第一章·药盒落地,1,许济川,NPC台词,药盒冲突,许济川：「没了。」\n许济川：「先别动。」\n许济川：「放下。」\n林玉棠：「这是我爹的东西。」\n许济川：「药是我开的，也得等警察来看。」\n林玉棠：「药是你配的。你倒先问起我来了。」\n林玉棠：「你也别过来。」\n林玉棠：「你刚才到底给他看了什么？」\n沈砚舟：「赵敬文留下的采访函。」\n林玉棠：「他上台前还好好的。」\n林玉棠：「你们非要把二十年前的事翻出来——」\n阿成：「玉棠，先把药放下。」\n林玉棠：「你闭嘴。」\n陈九生：「放桌上。」\n陈九生：「现在谁把它带走，谁都说不清。」\n方仲山：「阿成，留在这儿。」\n方仲山：「老周，去街口警署。前门关半扇，今晚在后台的人都别走。」\n方仲山：「药放这儿。」,,始终,,第一章·一个版本先传出去了,玉棠最终把药盒丢到侧厅小桌。,严格对应 v6 C10；只写原始动作，不把玉棠动机升级为玩家知识。,,药盒落地、玉棠藏袖动作、小桌与众人站位由背景 UI 表现。\n许济川又试了片刻，终于停下。\n玉棠想扶林怀安，许济川挡开\n玉棠从林怀安外褂内侧摸出小药盒。看清的一瞬，她脸上的慌乱变了。药盒勾住衣料，掉在石板上。\n林玉棠转向沈砚舟,玉棠从林怀安衣内取出药盒，试图藏入袖中；她拒绝交给许济川，并称药由许济川配制。,notes += C10_MEDICINE_BOX,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C11_001,C11_RUMOR,春和戏院·侧台与前场,第一章·一个版本先传出去了,1,场务,NPC台词,现场说法扩散,场务：「前头都在问，林班主是不是心口病又犯了。」\n许济川：「我没说是心疾。」\n方仲山：「就说身体不适，今晚不见客。先把人散开。」\n有人：「听说又是旧疾。」\n另一人：「不是，刚才有个记者拿旧事来问他。」\n林玉棠：「他就是见过这个记者以后才没来的侧厅。」\n林玉棠：「可你把东西给他看了。」,,始终,,,,C11 表现未经核验的说法先扩散；不把传言写入事实。,,前场散客、侧台小圈人群与墙上时钟。\n场务从前场挤进来\n通道外有人议论。,警察到场前，现场已出现心疾与记者翻旧事两种说法。,rumor_versions_spread=true,是,连续剧情逐句点击；主控发言按钮；末句显示三个回答
C11_010,C11_RUMOR,春和戏院·侧台与前场,第一章·一个版本先传出去了,2,沈砚舟,玩家选项,当众应对,,我给他看的是二十年前的旧报。是他约我散场后再谈。,始终,gu_initial=old_case,第一章·一个版本先传出去了·收场,,,,,,gu_initial=old_case,是,玩家点击
C11_011,C11_RUMOR,春和戏院·侧台与前场,第一章·一个版本先传出去了,2,沈砚舟,玩家选项,当众应对,,……,始终,gu_initial=illness,第一章·一个版本先传出去了·收场,,不作声。议论继续朝旧疾靠。,,,,gu_initial=illness,否,玩家点击
C11_012,C11_RUMOR,春和戏院·侧台与前场,第一章·一个版本先传出去了,2,沈砚舟,玩家选项,当众应对,,林小姐，您父亲今晚还见过谁？,始终,gu_initial=hostile,第一章·一个版本先传出去了·收场,,,,,,gu_initial=hostile,是,玩家点击
C11_020,C11_RUMOR,春和戏院·侧台与前场,第一章·一个版本先传出去了·收场,1,方仲山,NPC台词,收场,方仲山：「林小姐，先坐下。」\n方仲山：「谁看见什么，等警察来了各自说。现在别挤在这里。」,,始终,,第一章·警方到场前,,,,,,,是,连续剧情逐句点击；主控发言按钮
C12_010,C12_BEFORE_POLICE,春和戏院·警方到场前,第一章·警方到场前,1,沈砚舟,调查选择,警前调查,,留在药盒附近,始终,pre_police_check=drug,第一章·警方进场,,写入速记：等候警察时，玉棠曾要求阿成把桌上的药盒交给她；阿成没有照做。,,等候警察时，玉棠曾要求阿成把桌上的药盒交给她；阿成没有照做。,等候警察时，玉棠曾要求阿成把桌上的药盒交给她；阿成没有照做。,notes += C12_drug,否,三选一调查；选择后锁定
C12_011,C12_BEFORE_POLICE,春和戏院·警方到场前,第一章·警方到场前,1,沈砚舟,调查选择,警前调查,,沿林怀安来路走一遍,始终,pre_police_check=path,第一章·警方进场,,写入速记：舞台出口到侧厅的最短路线，不经过林怀安倒地的靠墙岔口。,,舞台出口到侧厅的最短路线，不经过林怀安倒地的靠墙岔口。,舞台出口到侧厅的最短路线，不经过林怀安倒地的靠墙岔口。,notes += C12_path,否,三选一调查；选择后锁定
C12_012,C12_BEFORE_POLICE,春和戏院·警方到场前,第一章·警方到场前,1,沈砚舟,调查选择,警前调查,,沿铁梯上天桥,始终,pre_police_check=bridge,第一章·天桥调查·向下看,,写入速记：沈砚舟沿铁梯上天桥。,,沈砚舟沿铁梯上天桥。,沈砚舟沿铁梯上天桥。,notes += C12_bridge,否,三选一调查；选择后锁定
C12_020,C12_BRIDGE,春和戏院·天桥,第一章·天桥调查·向下看,1,沈砚舟,玩家单一点击,天桥空间,,向下看,始终,bridge_view_down=true,第一章·天桥调查·整排吊绳,,速记：天桥铁梯下到底，只需几步便到林怀安倒地附近。,,从木架边缘俯看侧台通道。,天桥铁梯下到底，只需几步便到林怀安倒地附近。,notes += C12_BRIDGE_VIEW,否,场景热点
C12_021,C12_BRIDGE,春和戏院·天桥,第一章·天桥调查·整排吊绳,1,沈砚舟,玩家单一点击,绳排,,查看整排吊绳,始终,bridge_rope_row_seen=true,第一章·天桥调查·异常吊绳,,大部分绳尾高度相近，其中一根明显收得更高。,,整排吊绳与一根高收绳的对比。,,,否,场景热点
C12_022,C12_BRIDGE,春和戏院·天桥,第一章·天桥调查·异常吊绳,1,沈砚舟,玩家单一点击,异常吊绳,,查看收得较高的吊绳,始终,rope_anomaly_noted=true,第一章·警方进场,后台伙计在楼下看见沈砚舟上过天桥。,只记客观现象。,,绳尾比两侧短半尺；横杆多绕一道；边缘有浅色新麻毛。,一根吊绳尾端比两侧短半尺；横杆多绕一道，并有浅色新麻毛。,notes += C12_ROPE_ANOMALY; witness_saw_shen_on_bridge=true,否,场景热点；完成后下楼
C13_001,C13_POLICE_ARRIVAL,春和戏院·侧台,第一章·警方进场,1,顾承钧,NPC台词,警方控制现场,顾承钧：「谁报的案？」\n顾承钧：「外头说是心口病。谁碰过死者？谁把药拿出来的？」\n林玉棠：「我找到的。」\n许济川：「她拿出来以后想收走。」\n林玉棠：「我是想救我爹！」\n顾承钧：「一个一个说。」,,gu_initial!=old_case and gu_initial!=hostile,,第一章·沈砚舟的笔录,警员画下尸体与通道位置、封存药盒、分别带开第一批到场者。,严格对应 v6 C13；顾承钧先做程序控制，不写成全知侦探。,,位置草图、证物袋和分开站位由背景 UI 表现。\n顾承钧带两名警员进入侧台。,警方封存药盒并开始分别记录第一批到场者口供。,police_arrived=true; evidence.medicine_box.holder=police,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C13_002,C13_POLICE_ARRIVAL,春和戏院·侧台,第一章·警方进场,1,顾承钧,NPC台词,警方控制现场,顾承钧：「听说你拿旧事去问林班主。谁报的案？」\n顾承钧：「谁碰过死者？谁把药拿出来的？」\n林玉棠：「我找到的。」\n许济川：「她拿出来以后想收走。」\n林玉棠：「我是想救我爹！」\n顾承钧：「一个一个说。」,,gu_initial=old_case,,第一章·沈砚舟的笔录,,,,顾承钧带两名警员进入侧台。,,police_arrived=true; evidence.medicine_box.holder=police,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C13_003,C13_POLICE_ARRIVAL,春和戏院·侧台,第一章·警方进场,1,顾承钧,NPC台词,警方控制现场,顾承钧：「刚才当场反问林小姐的，是你？」\n顾承钧：「谁碰过死者？谁把药拿出来的？」\n林玉棠：「我找到的。」\n许济川：「她拿出来以后想收走。」\n林玉棠：「我是想救我爹！」\n顾承钧：「一个一个说。」,,gu_initial=hostile,,第一章·沈砚舟的笔录,,,,顾承钧带两名警员进入侧台。,,police_arrived=true; evidence.medicine_box.holder=police,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C14_001,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,1,顾承钧,NPC台词,笔录开始,顾承钧：「姓名，报馆，今晚为什么来。」\n沈砚舟：「沈砚舟，《雾港日报》。受报馆委派，采访白素秋二十年忌演出。」\n顾承钧：「有人说林怀安出事前，刚看过你带来的东西。」\n顾承钧：「什么东西？」,,始终,,,,C14 共同行为；随后按纸面实际位置分支。,,侧厅笔录桌、纸张与警员。\n顾承钧在侧厅坐下，警员铺开笔录纸。,,,是,连续剧情逐句点击；主控发言按钮；条件分支
C14_010,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,2,顾承钧,NPC台词,函件在林怀安身上,顾承钧：「这份是你带来的？」\n沈砚舟：「是。赵敬文死前寄过采访函，报馆留了底。」\n顾承钧：「林怀安看完说了什么？」\n沈砚舟：「让我散场后到侧厅等他。」,,evidence.letter_original.holder=lin,,第一章·沈砚舟的笔录·共同问题,顾承钧将函件列入证物。,,,函件进入证物封套。\n警员从林怀安内褂夹袋中找到采访函留底。,,evidence.letter_original.holder=police; police_record.letter_mode=original_seized,是,条件分支；连续剧情逐句点击；主控发言按钮
C14_020,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,2,顾承钧,NPC台词,函件仍由沈砚舟持有,,,letter_preparation=original_carried and evidence.letter_original.holder=player,,,,v6 C14 原件仍在沈砚舟手中时出现两个处理选择。,,原件在沈砚舟手边，证物封套与笔录纸在顾承钧一侧。\n沈砚舟从公文袋中拿出采访函留底。顾承钧等他决定如何登记。,,,否,场景动作背景UI；末帧显示两个函件处理选项
C14_021,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,3,沈砚舟,玩家选项,警方函件登记,,交出采访函留底,letter_preparation=original_carried and evidence.letter_original.holder=player,evidence.letter_original.holder=police; police_record.letter_mode=original_delivered,第一章·沈砚舟的笔录·共同问题,顾承钧读完，将函件装入证物封套并开出收条。,,,函件与收条同屏。,,,否,玩家点击
C14_022,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,3,沈砚舟,玩家选项,警方函件登记,,逐字说明函件内容，保留原件,letter_preparation=original_carried and evidence.letter_original.holder=player,police_record.letter_mode=oral_with_original_held,第一章·沈砚舟的笔录·共同问题,警员记下正文与发函日期，注明原件由沈砚舟持有。,,,笔录纸记录正文；原件仍在沈砚舟手边。,,,否,玩家点击
C14_030,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,2,沈砚舟,NPC台词,抄录登记,沈砚舟：「我带的是抄录。原件还在报馆。」,,letter_preparation=copied,,第一章·沈砚舟的笔录·共同问题,,只执行 v6 已有‘逐字说明并保留原件’的信息效果，不增加警方当晚取得原件。,,抄录与笔录纸同屏，原件不在现场。\n警员把正文与发函日期记入笔录，并注明当晚只核到抄录。,,police_record.letter_mode=copy_recorded; evidence.letter_original.holder=newsroom,是,条件分支；场景动作背景UI
C14_040,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录,2,沈砚舟,NPC台词,无纸面口述笔录,沈砚舟：「原件在报馆。我今晚没有带纸面，只向林怀安口述了函件内容。」\n顾承钧：「登记口述内容。明天去报馆核验原件。」,,letter_preparation=left_home,,第一章·沈砚舟的笔录·共同问题,,DEC-20260831-33：警方当晚只登记口述，不取得纸面。,,笔录纸标注‘口述待核’，桌面无函件。,警方只登记了沈砚舟的口述内容，并安排之后去报馆核验原件。,police_record.letter_mode=oral_pending_newsroom_check; police_followup.newsroom_check=planned,是,条件分支；连续剧情逐句点击；主控发言按钮；无纸面
C14_050,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,顾承钧,NPC台词,亲眼所见,顾承钧：「你最后一次看见林怀安在哪里？」,,始终,,,,回答由 C07/C09 状态生成；不把未观察内容补入笔录。,,笔录分栏：亲眼所见 / 他人说法。,,,是,连续剧情逐句点击；主控发言按钮；条件文本按既有记录收窄
C14_051_audience,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,谢幕时我看见他自己下台。,c07_position=audience,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=audience,是,玩家点击实际台词
C14_051_audience_strong,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,谢幕时，我看见他自己下台，脚步还稳。,c07_position=audience,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=audience,是,玩家点击实际台词
C14_051_side,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,谢幕时他往侧厅走。,c07_position=side,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=side,是,玩家点击实际台词
C14_051_side_strong,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,谢幕时，他沿侧台通道中央往侧厅走。,c07_position=side,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=side,是,玩家点击实际台词
C14_051_front,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,我当时在前场，没看见他从哪儿退场。,c07_position=front,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=front,是,玩家点击实际台词
C14_051_orchestra,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·共同问题,1,沈砚舟,玩家选项,亲眼所见,,我当时在乐池外围，没看见他从哪儿退场。,c07_position=orchestra,,第一章·沈砚舟的笔录·第一眼回答,,,,,,police_record.last_seen_basis=orchestra,是,玩家点击实际台词
C14_052,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,顾承钧,NPC台词,亲眼所见,顾承钧：「赶到以后，第一眼看见什么？」,,始终,,,,,,,,,是,连续剧情；主控发言按钮；场景动作背景UI
C14_053_lin,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,沈砚舟,玩家选项,亲眼所见,,许先生检查过他的脖子。,first_observation=lin,,第一章·天桥分支路由,,,,,,police_record.first_look_basis=lin; police_record.shen_completed=true,是,玩家点击实际台词
C14_053_lin_strong,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,沈砚舟,玩家选项,亲眼所见,,许先生的手指在他颈侧停了一瞬，随后拉回了护领。,first_observation=lin,,第一章·天桥分支路由,,,,,,police_record.first_look_basis=lin; police_record.shen_completed=true,是,玩家点击实际台词
C14_053_position,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,沈砚舟,玩家选项,亲眼所见,,他倒在靠墙的地方。,first_observation=position,,第一章·天桥分支路由,,,,,,police_record.first_look_basis=position; police_record.shen_completed=true,是,玩家点击实际台词
C14_053_position_strong,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,沈砚舟,玩家选项,亲眼所见,,他倒在岔口靠墙的地方。,first_observation=position,,第一章·天桥分支路由,,,,,,police_record.first_look_basis=position; police_record.shen_completed=true,是,玩家点击实际台词
C14_053_people,C14_STATEMENT,春和戏院·侧厅笔录桌,第一章·沈砚舟的笔录·第一眼回答,1,沈砚舟,玩家选项,亲眼所见,,阿成先看玉棠。陈九生随后从侧台另一端赶回来。,first_observation=people,,第一章·天桥分支路由,,,,,,police_record.first_look_basis=people; police_record.shen_completed=true,是,玩家点击实际台词
C15_000,C15_ROUTE,春和戏院·侧厅笔录桌,第一章·天桥分支路由,1,系统,纯跳转,天桥分支,,,pre_police_check=bridge,,第一章·天桥分支,,,,,,,否,无画面跳转
C15_000B,C15_ROUTE,春和戏院·侧厅笔录桌,第一章·天桥分支路由,2,系统,纯跳转,天桥分支,,,pre_police_check!=bridge,,第一章·现场收束,,,,,,,否,无画面跳转
C15_001,C15_BRIDGE_STATEMENT,春和戏院·侧厅笔录区,第一章·天桥分支,1,后台伙计,NPC台词,擅上天桥,「林班主出事后，我看见那个记者从天桥下来。」\n顾承钧：「你上过？」,,始终,,,,只有玩家上过天桥时出现。,,后台伙计指认沈砚舟；顾承钧抬头。\n后台伙计在另一边做笔录,,,是,连续剧情逐句点击；主控发言按钮；末句显示两个回答
C15_010,C15_BRIDGE_STATEMENT,春和戏院·侧厅笔录区,第一章·天桥分支,2,沈砚舟,玩家选项,吊绳异常,,说明吊绳上的异常,始终,police_told_rope=true,第一章·现场收束,沈砚舟只描述绳尾、绕法与新麻毛；顾承钧让警员封住铁梯并记录整排绳索。,,,速记本、铁梯封条和绳排记录。,陈九生负责管理天桥与绳排。,police_scene.rope_secured=true,否,玩家点击
C15_011,C15_BRIDGE_STATEMENT,春和戏院·侧厅笔录区,第一章·天桥分支,2,沈砚舟,玩家选项,吊绳异常,,只承认上过天桥,始终,police_told_rope=false,第一章·现场收束,顾承钧注明沈砚舟曾擅上天桥；警方当晚不记录那根吊绳状态。,,,笔录只写‘曾上天桥’。,,,否,玩家点击
C16_001,C16_WRAP,春和戏院·侧厅笔录区,第一章·现场收束,1,系统,纯画面,等待签字时观察,,,始终,,,警员继续分别询问戏院人员；沈砚舟等待签字。,玩家选择看一个人，只得到一条原始对话。,,玉棠、陈九生、许济川、方仲山分处四侧。,,,否,背景UI无对话框；显示四人观察选项
C16_010,C16_WRAP,春和戏院·侧厅笔录区,第一章·现场收束,2,沈砚舟,一次性观察,现场收束观察,,看玉棠,始终,c16_observation=yutang,第一章·末版还空着,玉棠否认自己想把药盒藏进袖里，回答得很快。她说药是许先生配的，一月一换。,原始对话：玉棠否认自己想把药盒藏进袖里，回答得很快。,,玉棠否认自己想把药盒藏进袖里，回答得很快。她说药是许先生配的，一月一换。,玉棠否认自己想把药盒藏进袖里，回答得很快。她说药是许先生配的，一月一换。,notes += C16_yutang,否,一次性观察；选择后签字离场
C16_011,C16_WRAP,春和戏院·侧厅笔录区,第一章·现场收束,2,沈砚舟,一次性观察,现场收束观察,,看陈九生,始终,c16_observation=chen,第一章·末版还空着,,原始对话：陈九生称谢幕后大半时候在后台，在‘一直？’之后停了一下。,,陈九生称谢幕后大半时候在后台，在‘一直？’之后停了一下。,陈九生称谢幕后大半时候在后台，在‘一直？’之后停了一下。,notes += C16_chen,否,一次性观察；选择后签字离场
C16_012,C16_WRAP,春和戏院·侧厅笔录区,第一章·现场收束,2,沈砚舟,一次性观察,现场收束观察,,看许济川,始终,c16_observation=xu,第一章·末版还空着,许济川只承认林怀安有心疾，强调死因等检验。他说诊断是三年前开的，上月刚复诊。,原始对话：许济川只承认林怀安有心疾，强调死因等检验。,,许济川只承认林怀安有心疾，强调死因等检验。他说诊断是三年前开的，上月刚复诊。,许济川只承认林怀安有心疾，强调死因等检验。他说诊断是三年前开的，上月刚复诊。,notes += C16_xu,否,一次性观察；选择后签字离场
C16_013,C16_WRAP,春和戏院·侧厅笔录区,第一章·现场收束,2,沈砚舟,一次性观察,现场收束观察,,看方仲山,始终,c16_observation=fang,第一章·末版还空着,方仲山交出钥匙、人员名单和演出安排。名单标着谢幕前后各人该在的位置，他没替任何人解释。,原始对话：方仲山交出钥匙、人员名单和演出安排，没有替任何人解释。,,方仲山交出钥匙、人员名单和演出安排。名单标着谢幕前后各人该在的位置，他没替任何人解释。,方仲山交出钥匙、人员名单和演出安排。名单标着谢幕前后各人该在的位置，他没替任何人解释。,notes += C16_fang,否,一次性观察；选择后签字离场
C17_001,C17_NEWSROOM_NIGHT,《雾港日报》编辑部·深夜,第一章·末版还空着,1,版面编辑,NPC台词,写稿准备,版面编辑：「春和那栏还空着。」\n版面编辑：「写不出来，明天换人写。」,,始终,,第一章·第一篇稿,,采访本只展示【原件】与【现场速记】，不替玩家总结。,,写稿桌 UI：原件缩图与玩家实际取得的速记并排；空白稿纸在中间。\n墙钟已经接近十一点，排字房仍亮着灯。\n版面编辑从排字房探出头\n沈砚舟把上午被退回的码头稿压到一边，打开采访本。,末版前仍需完成林怀安死亡报道。,writing_desk_open=true,是,连续剧情逐句点击；主控发言按钮；写稿UI背景
C18_001,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,1,稿件,写稿,第一篇稿,截至截稿，确切死因尚未公布。,,始终,,,基础段已排好：今夜《夜渡》谢幕后，春和戏院班主林怀安被发现倒于侧台通道；现场医师确认其已身亡；警方已封存随身药盒并开始核对口供。,玩家决定第二段是否提出一项待查疑点，一次只能写一项。,,稿纸显示基础段，右侧列出当前记录能够支持的写法。,,,否,写稿UI；末句显示可支持的稿件选择
C18_010,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,报道口径,,只报道已经确认的事实,始终,report_focus=confirmed,第一章·是否写入赵敬文,,,,第二段：林怀安生前有心疾旧患；是否与死亡有关仍待检验。,,,否,玩家点击写入稿纸
C18_011,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,提出一项现场疑点,,倒地位置与离场路线对不上,c07_position=side or pre_police_check=path,report_focus=location,第一章·是否写入赵敬文,,只能由玩家实际记录支持；措辞保持待查。,,本报记者在场所见，林怀安最后的行走方向与其被发现的位置并不完全相合。该位置差异是否与死亡经过有关，仍待警方查明。,稿件只把已选疑点写成待查问题。,published_claim_basis=location,否,玩家点击写入稿纸
C18_011B,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,提出一项现场疑点,,场务说他从台侧下的，人却不在侧厅,c07_position!=side and pre_police_check!=path,report_focus=location_weak,第一章·是否写入赵敬文,,,,场务称林怀安从台侧下台，侧厅未见其人。两处是否相接，尚待查明。,稿件只把已选疑点写成待查问题。,published_claim_basis=location_weak; report_focus=location,否,玩家点击写入稿纸
